"UnempRate","tick","VacanRatio"
0.0825,1.0,0.0
0.0825,2.0,0.013079019073569483
0.061,3.0,0.04898828541001065
0.0455,4.0,1.1634363541121007
0.039,5.0,1.582726326742976
0.036,6.0,1.6177385892116183
0.0325,7.0,1.6093023255813954
0.03,8.0,1.965463917525773
0.0275,9.0,1.967095115681234
0.027,10.0,1.9660842754367933
0.0255,11.0,2.0672139558748075
0.023,12.0,2.059365404298874
0.02,13.0,2.1556122448979593
0.02,14.0,2.1556122448979593
0.019,15.0,2.2573904179408766
0.0185,16.0,2.2557310239429444
0.0175,17.0,2.253944020356234
0.0175,18.0,2.389821882951654
0.017,19.0,2.3880976602238047
0.016,20.0,2.5203252032520327
0.0155,21.0,2.5185373285931947
0.015,22.0,2.516751269035533
0.015,23.0,2.516751269035533
0.015,24.0,2.516751269035533
0.0145,25.0,2.5149670218163367
0.0135,26.0,2.511910795742524
0.0125,27.0,2.511392405063291
0.0115,28.0,2.6423874557410216
0.0105,29.0,2.6958059626073774
0.01,30.0,2.693939393939394
0.0085,31.0,2.6888552697932426
0.008,32.0,2.743951612903226
0.0075,33.0,2.742065491183879
0.007,34.0,2.7401812688821754
0.007,35.0,2.8741188318227593
0.0065,36.0,2.872169099144439
0.0065,37.0,2.872169099144439
0.0065,38.0,2.872169099144439
0.006,39.0,2.870221327967807
0.006,40.0,2.870221327967807
0.006,41.0,2.870221327967807
0.0055,42.0,2.868275515334339
0.0045,43.0,2.8643897538925165
0.0045,44.0,2.864892014063285
0.004,45.0,2.8629518072289155
0.004,46.0,2.8629518072289155
0.0035,47.0,2.861013547415956
0.0035,48.0,2.8615153035624687
0.0035,49.0,2.9603612644254893
0.0035,50.0,2.9603612644254893
0.003,51.0,2.9583751253761283
0.003,52.0,3.0005015045135406
0.003,53.0,3.0285857572718156
0.0025,54.0,3.0265664160401005
0.002,55.0,3.1092184368737477
0.002,56.0,3.1097194388777556
0.0015,57.0,3.1076614922383574
0.0015,58.0,3.1076614922383574
0.0015,59.0,3.1076614922383574
0.0015,60.0,3.1076614922383574
0.0015,61.0,3.1076614922383574
0.0015,62.0,3.1076614922383574
0.0015,63.0,3.1081622433650478
0.0015,64.0,3.1081622433650478
5.0E-4,65.0,3.1040520260130067
5.0E-4,66.0,3.1040520260130067
5.0E-4,67.0,3.1040520260130067
5.0E-4,68.0,3.1040520260130067
0.0,69.0,3.102
0.0,70.0,3.102
0.0,71.0,3.102
0.0,72.0,3.102
0.0,73.0,3.102
0.0,74.0,3.102
0.0,75.0,3.102
0.0,76.0,3.102
0.0,77.0,3.103
0.0,78.0,3.103
0.0,79.0,3.103
0.0,80.0,3.103
0.0,81.0,3.103
0.0,82.0,3.103
0.0,83.0,3.103
0.0,84.0,3.103
0.0,85.0,3.103
0.0,86.0,3.103
0.0,87.0,3.103
0.0,88.0,3.103
0.0,89.0,3.103
0.0,90.0,3.103
0.0,91.0,3.103
0.0,92.0,3.103
0.0,93.0,3.103
0.0,94.0,3.103
0.0,95.0,3.103
0.0,96.0,3.103
0.0,97.0,3.103
0.0,98.0,3.103
0.0,99.0,3.103
0.0,100.0,3.103
0.0,101.0,3.103
0.0,102.0,3.103
0.0,103.0,3.103
0.0,104.0,3.103
0.0,105.0,3.103
0.0,106.0,3.103
0.0,107.0,3.103
0.0,108.0,3.1035
0.0,109.0,3.1035
0.0,110.0,3.1035
0.0,111.0,3.1035
0.0,112.0,3.1035
0.0,113.0,3.1035
0.0,114.0,3.1035
0.0,115.0,3.1035
0.0,116.0,3.1035
0.0,117.0,3.1035
0.0,118.0,3.1035
0.0,119.0,3.1035
0.0,120.0,3.1035
0.0,121.0,3.1035
0.0,122.0,3.1035
0.0,123.0,3.1035
0.0,124.0,3.1035
0.0,125.0,3.1035
0.0,126.0,3.1035
0.0,127.0,3.1035
0.0,128.0,3.1035
0.0,129.0,3.1035
0.0,130.0,3.1035
0.0,131.0,3.1035
0.0,132.0,3.1035
0.0,133.0,3.1035
0.0,134.0,3.1035
0.0,135.0,3.1035
0.0,136.0,3.1035
0.0,137.0,3.1035
0.0,138.0,3.1035
0.0,139.0,3.1035
0.0,140.0,3.1035
0.0,141.0,3.1035
0.0,142.0,3.1035
0.0,143.0,3.1035
0.0,144.0,3.1035
0.0,145.0,3.1035
0.0,146.0,3.1035
0.0,147.0,3.1035
0.0,148.0,3.1035
0.0,149.0,3.1035
0.0,150.0,3.1035
0.0,151.0,3.1035
0.0,152.0,3.1035
0.0,153.0,3.1035
0.0,154.0,3.1035
0.0,155.0,3.1035
0.0,156.0,3.1035
0.0,157.0,3.1035
0.0,158.0,3.1035
0.0,159.0,3.1035
0.0,160.0,3.1035
0.0,161.0,3.1035
0.0,162.0,3.1035
0.0,163.0,3.1035
0.0,164.0,3.1035
0.0,165.0,3.1035
0.0,166.0,3.1035
0.0,167.0,3.1035
0.0,168.0,3.1035
0.0,169.0,3.1035
0.0,170.0,3.1035
0.0,171.0,3.1035
0.0,172.0,3.1035
0.0,173.0,3.1035
0.0,174.0,3.1035
0.0,175.0,3.1035
0.0,176.0,3.1035
0.0,177.0,3.1035
0.0,178.0,3.1035
0.0,179.0,3.1035
0.0,180.0,3.1035
0.0,181.0,3.1035
0.0,182.0,3.1035
0.0,183.0,3.1035
0.0,184.0,3.1035
0.0,185.0,3.1035
0.0,186.0,3.1035
0.0,187.0,3.1035
0.0,188.0,3.1035
0.0,189.0,3.1035
0.0,190.0,3.1035
0.0,191.0,3.1035
0.0,192.0,3.1035
0.0,193.0,3.1035
0.0,194.0,3.1035
0.0,195.0,3.1035
0.0,196.0,3.1035
0.0,197.0,3.1035
0.0,198.0,3.1035
0.0,199.0,3.1035
0.0,200.0,3.1035
0.0,201.0,3.1035
0.0,202.0,3.1035
0.0,203.0,3.104
0.0,204.0,3.104
0.0,205.0,3.104
0.0,206.0,3.104
0.0,207.0,3.104
0.0,208.0,3.104
0.0,209.0,3.104
0.0,210.0,3.104
0.0,211.0,3.104
0.0,212.0,3.104
0.0,213.0,3.104
0.0,214.0,3.104
0.0,215.0,3.104
0.0,216.0,3.104
0.0,217.0,3.104
0.0,218.0,3.104
0.0,219.0,3.104
0.0,220.0,3.104
0.0,221.0,3.104
0.0,222.0,3.104
0.0,223.0,3.104
0.0,224.0,3.104
0.0,225.0,3.104
0.0,226.0,3.104
0.0,227.0,3.104
0.0,228.0,3.104
0.0,229.0,3.104
0.0,230.0,3.104
0.0,231.0,3.104
0.0,232.0,3.104
0.0,233.0,3.104
0.0,234.0,3.104
0.0,235.0,3.104
0.0,236.0,3.104
0.0,237.0,3.104
0.0,238.0,3.104
0.0,239.0,3.104
0.0,240.0,3.104
0.0,241.0,3.104
0.0,242.0,3.104
0.0,243.0,3.104
0.0,244.0,3.104
0.0,245.0,3.104
0.0,246.0,3.104
0.0,247.0,3.104
0.0,248.0,3.104
0.0,249.0,3.104
0.0,250.0,3.104
0.0,251.0,3.104
0.0,252.0,3.104
0.0,253.0,3.104
0.0,254.0,3.104
0.0,255.0,3.104
0.0,256.0,3.104
0.0,257.0,3.104
0.0,258.0,3.104
0.0,259.0,3.104
0.0,260.0,3.104
0.0,261.0,3.104
0.0,262.0,3.104
0.0,263.0,3.104
0.0,264.0,3.104
0.0,265.0,3.104
0.0,266.0,3.104
0.0,267.0,3.104
0.0,268.0,3.104
0.0,269.0,3.104
0.0,270.0,3.104
0.0,271.0,3.104
0.0,272.0,3.104
0.0,273.0,3.104
0.0,274.0,3.104
0.0,275.0,3.104
0.0,276.0,3.104
0.0,277.0,3.104
0.0,278.0,3.104
0.0,279.0,3.104
0.0,280.0,3.104
0.0,281.0,3.104
0.0,282.0,3.104
0.0,283.0,3.104
0.0,284.0,3.104
0.0,285.0,3.104
0.0,286.0,3.104
0.0,287.0,3.104
0.0,288.0,3.104
0.0,289.0,3.104
0.0,290.0,3.104
0.0,291.0,3.104
0.0,292.0,3.104
0.0,293.0,3.104
0.0,294.0,3.104
0.0,295.0,3.104
0.0,296.0,3.104
0.0,297.0,3.104
0.0,298.0,3.104
0.0,299.0,3.104
0.0,300.0,3.104
0.0,301.0,3.104
0.0,302.0,3.104
0.0,303.0,3.104
0.0,304.0,3.104
0.0,305.0,3.104
0.0,306.0,3.104
0.0,307.0,3.104
0.0,308.0,3.104
0.0,309.0,3.104
0.0,310.0,3.104
0.0,311.0,3.104
0.0,312.0,3.104
0.0,313.0,3.104
0.0,314.0,3.104
0.0,315.0,3.104
0.0,316.0,3.104
0.0,317.0,3.104
0.0,318.0,3.104
0.0,319.0,3.104
0.0,320.0,3.104
0.0,321.0,3.104
0.0,322.0,3.104
0.0,323.0,3.104
0.0,324.0,3.104
0.0,325.0,3.104
0.0,326.0,3.104
0.0,327.0,3.104
0.0,328.0,3.104
0.0,329.0,3.104
0.0,330.0,3.104
0.0,331.0,3.104
0.0,332.0,3.104
0.0,333.0,3.104
0.0,334.0,3.104
0.0,335.0,3.104
0.0,336.0,3.104
0.0,337.0,3.104
0.0,338.0,3.104
0.0,339.0,3.104
0.0,340.0,3.104
0.0,341.0,3.104
0.0,342.0,3.104
0.0,343.0,3.104
0.0,344.0,3.104
0.0,345.0,3.104
0.0,346.0,3.104
0.0,347.0,3.104
0.0,348.0,3.104
0.0,349.0,3.104
0.0,350.0,3.104
0.0,351.0,3.104
0.0,352.0,3.104
0.0,353.0,3.104
0.0,354.0,3.104
0.0,355.0,3.104
0.0,356.0,3.104
0.0,357.0,3.104
0.0,358.0,3.104
0.0,359.0,3.104
0.0,360.0,3.104
0.0,361.0,3.104
0.0,362.0,3.104
0.0,363.0,3.104
0.0,364.0,3.104
0.0,365.0,3.104
0.0,366.0,3.104
0.0,367.0,3.104
0.0,368.0,3.104
