Data,Total
jun/08,26.00
jul/08,24.80
ago/08,24.10
set/08,26.20
out/08,26.10
nov/08,24.40
dez/08,23.40
jan/09,22.40
fev/09,20.50
mar/09,18.00
abr/09,15.80
mai/09,14.30
jun/09,13.70
jul/09,14.90
ago/09,14.10
set/09,11.70
out/09,10.40
nov/09,9.90
dez/09,10.40
jan/10,10.70
fev/10,11.40
mar/10,11.10
abr/10,11.60
mai/10,12.90
jun/10,14.20
jul/10,13.30
ago/10,14.10
set/10,14.50
out/10,14.40
nov/10,14.60
dez/10,13.80
jan/11,13.40
fev/11,13.90
mar/11,13.50
abr/11,13.60
mai/11,13.00
jun/11,12.20
jul/11,11.90
ago/11,11.10
set/11,11.20
out/11,10.40
nov/11,10.60
dez/11,11.50
jan/12,11.40
fev/12,10.70
mar/12,12.30
abr/12,12.40
mai/12,12.60
jun/12,12.70
jul/12,12.00
ago/12,11.30
set/12,10.10
out/12,10.70
nov/12,10.10
dez/12,10.00
jan/13,9.60
fev/13,9.80
mar/13,9.50
abr/13,9.20
mai/13,9.00
jun/13,9.10
jul/13,9.20
ago/13,9.50
set/13,9.30
out/13,8.30
nov/13,8.40
dez/13,8.10
jan/14,8.60
fev/14,8.20
mar/14,6.80
abr/14,6.50
mai/14,5.80
jun/14,4.70
jul/14,4.40
ago/14,4.10
set/14,4.50
out/14,5.00
nov/14,4.70
dez/14,4.60
jan/15,3.60
fev/15,3.00
mar/15,2.80
abr/15,2.10
mai/15,1.60
jun/15,0.80
jul/15,0.30
ago/15,0.20
set/15,-0.20
out/15,-1.60
nov/15,-2.70
dez/15,-3.60
