M�s,valor
mar�o 2002,12.90
abril 2002,12.50
maio 2002,11.90
junho 2002,11.60
julho 2002,11.90
agosto 2002,11.70
setembro 2002,11.50
outubro 2002,11.20
novembro 2002,10.90
dezembro 2002,10.50
janeiro 2003,11.20
fevereiro 2003,11.60
mar�o 2003,12.10
abril 2003,12.40
maio 2003,12.90
junho 2003,13.00
julho 2003,12.80
agosto 2003,13.00
setembro 2003,13.00
outubro 2003,12.90
novembro 2003,12.20
dezembro 2003,10.90
janeiro 2004,11.70
fevereiro 2004,12.00
mar�o 2004,12.80
abril 2004,13.10
maio 2004,12.20
junho 2004,11.70
julho 2004,11.20
agosto 2004,11.40
setembro 2004,10.90
outubro 2004,10.50
novembro 2004,10.70
dezembro 2004,9.60
janeiro 2005,10.20
fevereiro 2005,10.70
mar�o 2005,10.80
abril 2005,10.80
maio 2005,10.20
junho 2005,9.40
julho 2005,9.40
agosto 2005,9.40
setembro 2005,9.60
outubro 2005,9.60
novembro 2005,9.60
dezembro 2005,8.40
janeiro 2006,9.30
fevereiro 2006,10.10
mar�o 2006,10.40
abril 2006,10.40
maio 2006,10.20
junho 2006,10.40
julho 2006,10.70
agosto 2006,10.60
setembro 2006,10.00
outubro 2006,9.80
novembro 2006,9.50
dezembro 2006,8.40
janeiro 2007,9.30
fevereiro 2007,9.90
mar�o 2007,10.20
abril 2007,10.20
maio 2007,10.20
junho 2007,9.70
julho 2007,9.50
agosto 2007,9.50
setembro 2007,9.00
outubro 2007,8.70
novembro 2007,8.20
dezembro 2007,7.40
janeiro 2008,8.00
fevereiro 2008,8.70
mar�o 2008,8.60
abril 2008,8.50
maio 2008,7.90
junho 2008,7.80
julho 2008,8.10
agosto 2008,7.60
setembro 2008,7.70
outubro 2008,7.50
novembro 2008,7.60
dezembro 2008,6.80
janeiro 2009,8.20
fevereiro 2009,8.50
mar�o 2009,9.00
abril 2009,8.90
maio 2009,8.80
junho 2009,8.10
julho 2009,8.00
agosto 2009,8.10
setembro 2009,7.70
outubro 2009,7.50
novembro 2009,7.30
dezembro 2009,6.80
janeiro 2010,7.20
fevereiro 2010,7.40
mar�o 2010,7.60
abril 2010,7.30
maio 2010,7.40
junho 2010,7.00
julho 2010,6.90
agosto 2010,6.70
setembro 2010,6.20
outubro 2010,6.00
novembro 2010,5.70
dezembro 2010,5.30
janeiro 2011,6.00
fevereiro 2011,6.30
mar�o 2011,6.40
abril 2011,6.40
maio 2011,6.30
junho 2011,6.20
julho 2011,6.00
agosto 2011,6.00
setembro 2011,6.00
outubro 2011,5.70
novembro 2011,5.20
dezembro 2011,4.70
janeiro 2012,5.50
fevereiro 2012,5.70
mar�o 2012,6.20
abril 2012,6.00
maio 2012,5.80
junho 2012,5.90
julho 2012,5.40
agosto 2012,5.30
setembro 2012,5.40
outubro 2012,5.30
novembro 2012,4.90
dezembro 2012,4.60
janeiro 2013,5.50
fevereiro 2013,5.60
mar�o 2013,5.70
abril 2013,5.80
maio 2013,5.80
junho 2013,6.00
julho 2013,5.60
agosto 2013,5.30
setembro 2013,5.40
outubro 2013,5.20
novembro 2013,4.60
dezembro 2013,4.30
janeiro 2014,4.80
fevereiro 2014,5.10
mar�o 2014,5.00
abril 2014,4.80
maio 2014,4.90
junho 2014,4.80
julho 2014,4.90
agosto 2014,5.00
setembro 2014,4.80
outubro 2014,4.60
novembro 2014,4.80
dezembro 2014,4.30
janeiro 2015,5.30
fevereiro 2015,5.80
mar�o 2015,6.10
abril 2015,6.40
maio 2015,6.70
junho 2015,6.90
julho 2015,7.50
agosto 2015,7.50
setembro 2015,7.50
outubro 2015,7.80
novembro 2015,7.50
dezembro 2015,6.90
janeiro 2016,7.60
fevereiro 2016,8.20
