"Trimestre","Formação bruta de capital fixo"
"1º trimestre 1996","96.76"
"2º trimestre 1996","99.01"
"3º trimestre 1996","102.11"
"4º trimestre 1996","106.81"
"1º trimestre 1997","108.41"
"2º trimestre 1997","108.73"
"3º trimestre 1997","110.97"
"4º trimestre 1997","110.66"
"1º trimestre 1998","110.81"
"2º trimestre 1998","112.20"
"3º trimestre 1998","110.06"
"4º trimestre 1998","105.10"
"1º trimestre 1999","102.11"
"2º trimestre 1999","99.72"
"3º trimestre 1999","97.99"
"4º trimestre 1999","99.59"
"1º trimestre 2000","99.96"
"2º trimestre 2000","105.51"
"3º trimestre 2000","104.92"
"4º trimestre 2000","108.05"
"1º trimestre 2001","109.59"
"2º trimestre 2001","108.54"
"3º trimestre 2001","106.10"
"4º trimestre 2001","99.67"
"1º trimestre 2002","102.11"
"2º trimestre 2002","103.14"
"3º trimestre 2002","105.35"
"4º trimestre 2002","106.90"
"1º trimestre 2003","103.56"
"2º trimestre 2003","98.18"
"3º trimestre 2003","97.75"
"4º trimestre 2003","101.59"
"1º trimestre 2004","105.44"
"2º trimestre 2004","109.23"
"3º trimestre 2004","111.23"
"4º trimestre 2004","109.07"
"1º trimestre 2005","108.47"
"2º trimestre 2005","111.04"
"3º trimestre 2005","111.93"
"4º trimestre 2005","112.10"
"1º trimestre 2006","116.31"
"2º trimestre 2006","116.88"
"3º trimestre 2006","118.13"
"4º trimestre 2006","121.74"
"1º trimestre 2007","126.10"
"2º trimestre 2007","130.44"
"3º trimestre 2007","134.69"
"4º trimestre 2007","137.92"
"1º trimestre 2008","142.82"
"2º trimestre 2008","147.50"
"3º trimestre 2008","158.54"
"4º trimestre 2008","144.93"
"1º trimestre 2009","128.12"
"2º trimestre 2009","137.31"
"3º trimestre 2009","152.22"
"4º trimestre 2009","163.18"
"1º trimestre 2010","167.09"
"2º trimestre 2010","167.41"
"3º trimestre 2010","175.45"
"4º trimestre 2010","175.85"
"1º trimestre 2011","178.37"
"2º trimestre 2011","183.19"
"3º trimestre 2011","185.93"
"4º trimestre 2011","185.84"
"1º trimestre 2012","184.94"
"2º trimestre 2012","183.25"
"3º trimestre 2012","183.91"
"4º trimestre 2012","187.31"
"1º trimestre 2013","190.89"
"2º trimestre 2013","197.01"
"3º trimestre 2013","198.17"
"4º trimestre 2013","196.12"
"1º trimestre 2014","194.64"
"2º trimestre 2014","187.67"
"3º trimestre 2014","183.95"
"4º trimestre 2014","183.19"
"1º trimestre 2015","177.25"
"2º trimestre 2015","162.04"
"3º trimestre 2015","156.68"
"4º trimestre 2015","149.17"
"1º trimestre 2016","147.07"
"2º trimestre 2016","147.31"
"3º trimestre 2016","143.44"
"4º trimestre 2016","140.42"
"1º trimestre 2017","139.26"
"2º trimestre 2017","139.83"
"3º trimestre 2017","142.67"
"4º trimestre 2017","145.68"
"1º trimestre 2018","146.59"
