Faixa de Salário Mín. Mensal,Qtde Declarantes,Rendim. Tribut.,Rendim. Tribut. Exclus.,Rendim. Isentos,Bens e Direitos
Até 1/2,"1,301,366",254,46,113,"136,273"
Mais de 1/2 a 1,"573,674","4,487",92,341,"38,903"
Mais de 1 a 2,"1,227,268","14,525",599,"2,553","135,712"
Mais de 2 a 3,"3,278,035","73,567","2,159","6,323","268,682"
Mais de 3 a 5,"7,403,868","228,922","16,832","29,606","526,420"
Mais de 5 a 7,"4,339,708","192,783","16,498","32,910","443,328"
Mais de 7 a 10,"3,352,450","202,073","18,801","42,627","496,954"
Mais de 10 a 15,"2,536,352","211,127","21,922","58,535","604,905"
Mais de 15 a 20,"1,180,520","130,938","15,647","45,710","445,973"
Mais de 20 a 30,"1,086,611","157,914","21,739","69,414","622,922"
Mais de 30 a 40,"489,421","92,454","14,777","51,599","426,299"
Mais de 40 a 60,"389,811","89,905","18,318","69,382","524,434"
Mais de 60 a 80,"142,916","37,610","10,550","44,527","303,922"
Mais de 80 a 160,"141,451","40,987","18,427","84,343","533,681"
Mais de 160 a 240,"32,329","11,540","8,269","39,315","245,037"
Mais de 240 a 320,"13,753","6,063","5,447","24,337","151,526"
Mais de 320,"29,311","27,541","62,826","207,572","1,288,419"
    Total,"27,518,844","1,522,690","252,949","809,206","7,193,391"
