Date;22047 - Credit operations outstanding by type of borrower - Private sector - Legal entities - R$ (million)
01/2012;1,007,832
02/2012;1,009,331
03/2012;1,033,534
04/2012;1,048,989
05/2012;1,066,061
06/2012;1,084,525
07/2012;1,088,169
08/2012;1,095,635
09/2012;1,116,812
10/2012;1,132,984
11/2012;1,150,664
12/2012;1,176,592
01/2013;1,161,576
02/2013;1,174,402
03/2013;1,201,809
04/2013;1,202,647
05/2013;1,221,359
06/2013;1,242,513
07/2013;1,239,299
08/2013;1,252,365
09/2013;1,261,569
10/2013;1,258,120
11/2013;1,283,358
12/2013;1,315,987
01/2014;1,299,978
02/2014;1,303,439
03/2014;1,302,309
04/2014;1,305,680
05/2014;1,314,967
06/2014;1,324,098
07/2014;1,318,090
08/2014;1,327,613
09/2014;1,344,945
10/2014;1,347,028
11/2014;1,367,317
12/2014;1,398,601
01/2015;1,378,187
02/2015;1,382,526
03/2015;1,402,050
04/2015;1,392,264
05/2015;1,400,046
06/2015;1,406,299
07/2015;1,403,044
08/2015;1,411,110
09/2015;1,423,931
10/2015;1,413,836
11/2015;1,421,050
12/2015;1,446,098
01/2016;1,421,001
02/2016;1,404,003
03/2016;1,384,318
04/2016;1,365,932
05/2016;1,362,668
06/2016;1,347,050
07/2016;1,331,331
08/2016;1,321,463
09/2016;1,315,037
10/2016;1,303,770
11/2016;1,302,453
12/2016;1,309,020
01/2017;1,276,145
02/2017;1,273,318
03/2017;1,270,359
04/2017;1,262,215
05/2017;1,249,316
06/2017;1,255,045
Source;BCB-Dstat
