Date;25437 - Month average interest rate of nonearmarked new credit operations - Non-financial corporations - Total - % p.m.;25462 - Month average interest rate of nonearmarked new credit operations - Households - Total - % p.m.
03/2011;2.01 ;3.34
04/2011;2.04 ;3.41
05/2011;2.02 ;3.39
06/2011;2.02 ;3.38
07/2011;2.04 ;3.40
08/2011;1.96 ;3.36
09/2011;1.97 ;3.39
10/2011;1.94 ;3.45
11/2011;1.92 ;3.38
12/2011;1.83 ;3.23
01/2012;1.87 ;3.34
02/2012;1.87 ;3.38
03/2012;1.83 ;3.37
04/2012;1.75 ;3.33
05/2012;1.64 ;3.17
06/2012;1.58 ;3.12
07/2012;1.57 ;3.05
08/2012;1.56 ;2.99
09/2012;1.53 ;2.99
10/2012;1.49 ;2.94
11/2012;1.51 ;2.91
12/2012;1.44 ;2.81
01/2013;1.50 ;2.83
02/2013;1.52 ;2.90
03/2013;1.51 ;2.87
04/2013;1.53 ;2.85
05/2013;1.51 ;2.83
06/2013;1.54 ;2.87
07/2013;1.57 ;2.93
08/2013;1.61 ;2.96
09/2013;1.62 ;2.99
10/2013;1.64 ;3.05
11/2013;1.68 ;3.07
12/2013;1.68 ;3.03
01/2014;1.77 ;3.13
02/2014;1.79 ;3.27
03/2014;1.80 ;3.29
04/2014;1.79 ;3.29
05/2014;1.80 ;3.31
06/2014;1.78 ;3.36
07/2014;1.80 ;3.36
08/2014;1.79 ;3.38
09/2014;1.78 ;3.34
10/2014;1.83 ;3.44
11/2014;1.83 ;3.47
12/2014;1.82 ;3.40
01/2015;1.89 ;3.55
02/2015;1.95 ;3.67
03/2015;1.98 ;3.67
04/2015;1.99 ;3.77
05/2015;2.01 ;3.85
06/2015;2.04 ;3.92
07/2015;2.08 ;3.99
08/2015;2.12 ;4.07
09/2015;2.20 ;4.13
10/2015;2.22 ;4.24
11/2015;2.24 ;4.28
12/2015;2.20 ;4.20
01/2016;2.31 ;4.37
02/2016;2.33 ;4.45
03/2016;2.26 ;4.51
04/2016;2.27 ;4.61
05/2016;2.22 ;4.63
06/2016;2.21 ;4.60
07/2016;2.23 ;4.63
08/2016;2.25 ;4.65
09/2016;2.19 ;4.73
10/2016;2.24 ;4.74
11/2016;2.20 ;4.75
12/2016;2.09 ;4.64
01/2017;2.13 ;4.69
02/2017;2.12 ;4.70
03/2017;2.05 ;4.66
04/2017;1.96 ;4.41
05/2017;1.95 ;4.24
06/2017;1.86 ;4.17
