Data	Sondagem Industrial - Nível de Utilização da Capacidade Instalada Sem Ajuste Sazonal (CNAE 2.0)(1416216)
01/2001	81
02/2001	81,2
03/2001	81,6
04/2001	80,7
05/2001	80,9
06/2001	79,5
07/2001	79
08/2001	78,8
09/2001	79,4
10/2001	79,7
11/2001	80,2
12/2001	80
01/2002	78,6
02/2002	78,5
03/2002	78,6
04/2002	77,4
05/2002	78,3
06/2002	77,5
07/2002	77,7
08/2002	77,9
09/2002	78,8
10/2002	79,5
11/2002	80,4
12/2002	80,5
01/2003	79,4
02/2003	79,4
03/2003	79,4
04/2003	78,3
05/2003	78,8
06/2003	77,6
07/2003	77,4
08/2003	78,3
09/2003	80
10/2003	81,4
11/2003	81,8
12/2003	81,5
01/2004	80
02/2004	80,1
03/2004	80,2
04/2004	79,2
05/2004	80,6
06/2004	80,4
07/2004	81,1
08/2004	81,6
09/2004	83
10/2004	84
11/2004	84,4
12/2004	84
01/2005	82,4
02/2005	82,3
03/2005	82,2
04/2005	81
05/2005	81,5
06/2005	80,3
07/2005	80,1
08/2005	80,4
09/2005	81,6
10/2005	82,4
11/2005	81,8
12/2005	81,5
01/2006	80,5
02/2006	80,2
03/2006	80,9
04/2006	79,4
05/2006	80,7
06/2006	80,4
07/2006	81,5
08/2006	81,9
09/2006	83,1
10/2006	83,4
11/2006	83,5
12/2006	82,9
01/2007	80,7
02/2007	82,7
03/2007	81,3
04/2007	81,6
05/2007	82,3
06/2007	83,1
07/2007	83,3
08/2007	83,7
09/2007	85
10/2007	86,5
11/2007	86,6
12/2007	85,8
01/2008	84,1
02/2008	84,3
03/2008	84,4
04/2008	83,8
05/2008	84
06/2008	84,3
07/2008	84,9
08/2008	85,5
09/2008	85,6
10/2008	86
11/2008	84,8
12/2008	80,1
01/2009	75,7
02/2009	76,8
03/2009	76
04/2009	76,2
05/2009	77,3
06/2009	78
07/2009	77,5
08/2009	79,6
09/2009	81,5
10/2009	82,9
11/2009	83,9
12/2009	83,7
01/2010	80,7
02/2010	82,1
03/2010	81,9
04/2010	82,8
05/2010	83,3
06/2010	83,8
07/2010	83,9
08/2010	84,4
09/2010	84,5
10/2010	86
11/2010	86
12/2010	85,4
01/2011	82,1
02/2011	82,4
03/2011	81,8
04/2011	82,2
05/2011	83
06/2011	82,9
07/2011	82,5
08/2011	82,6
09/2011	83,2
10/2011	84,3
11/2011	84,1
12/2011	83
01/2012	80,6
02/2012	81,9
03/2012	80,9
04/2012	80,8
05/2012	81,8
06/2012	81,6
07/2012	81,8
08/2012	83
09/2012	83
10/2012	84
11/2012	84
12/2012	84,1
01/2013	80,5
02/2013	81,8
03/2013	81,2
04/2013	81
05/2013	81,9
06/2013	82,3
07/2013	82,3
08/2013	83
09/2013	83,1
10/2013	84,2
11/2013	85,1
12/2013	84
01/2014	81
02/2014	82
03/2014	81,5
04/2014	80,8
05/2014	81,3
06/2014	81,1
07/2014	80,1
08/2014	80,8
09/2014	81,4
10/2014	81,5
11/2014	82,6
12/2014	80,4
01/2015	77,6
02/2015	78,6
03/2015	77,3
04/2015	76,4
05/2015	76
06/2015	75,3
07/2015	74,5
08/2015	75,3
09/2015	75,7
10/2015	76,5
11/2015	76,8
12/2015	76,4
01/2016	72,4
02/2016	73,5
03/2016	72,6
04/2016	73,2
05/2016	73,1
06/2016	73,4
07/2016	73,5
08/2016	73,9
09/2016	75,4
10/2016	75,2
11/2016	76,2
12/2016	74
01/2017	73,2
02/2017	73,7
03/2017	73,3
04/2017	73,4
05/2017	74
06/2017	73,6
07/2017	74
08/2017	74,2
09/2017	74,9
10/2017	76
11/2017	76,6
12/2017	75,9
01/2018	73,3
02/2018	75,2
03/2018	75,1
