Date;20623 - Credit operations outstanding - Non-financial corporations - % of GDP - %;20624 - Credit operations outstanding - Households - % of GDP - %
03/2007;16.65 ;14.01
04/2007;16.88 ;14.19
05/2007;16.73 ;14.43
06/2007;16.72 ;14.56
07/2007;16.87 ;14.81
08/2007;17.39 ;14.95
09/2007;17.52 ;15.15
10/2007;17.75 ;15.46
11/2007;18.33 ;15.71
12/2007;18.82 ;15.88
01/2008;18.70 ;16.02
02/2008;18.81 ;16.03
03/2008;19.45 ;16.31
04/2008;19.66 ;16.56
05/2008;20.01 ;16.80
06/2008;20.25 ;16.88
07/2008;20.33 ;16.85
08/2008;20.67 ;16.92
09/2008;21.40 ;17.02
10/2008;21.84 ;17.16
11/2008;22.29 ;17.08
12/2008;22.50 ;17.18
01/2009;22.36 ;17.20
02/2009;22.29 ;17.11
03/2009;22.37 ;17.21
04/2009;22.22 ;17.42
05/2009;22.12 ;17.74
06/2009;22.26 ;17.98
07/2009;22.98 ;18.13
08/2009;23.20 ;18.33
09/2009;23.33 ;18.59
10/2009;23.50 ;18.73
11/2009;23.67 ;18.75
12/2009;23.82 ;18.80
01/2010;23.56 ;18.86
02/2010;23.41 ;18.81
03/2010;23.21 ;18.89
04/2010;23.08 ;18.91
05/2010;23.26 ;19.05
06/2010;23.61 ;19.03
07/2010;23.45 ;19.17
08/2010;23.68 ;19.28
09/2010;23.85 ;19.40
10/2010;24.01 ;19.55
11/2010;24.12 ;19.74
12/2010;24.11 ;19.96
01/2011;23.75 ;19.98
02/2011;23.82 ;19.94
03/2011;23.87 ;19.95
04/2011;23.94 ;20.01
05/2011;24.00 ;20.10
06/2011;24.09 ;20.16
07/2011;24.11 ;20.22
08/2011;24.18 ;20.49
09/2011;24.66 ;20.64
10/2011;24.53 ;20.76
11/2011;24.88 ;20.93
12/2011;25.42 ;21.06
01/2012;24.92 ;21.18
02/2012;24.75 ;21.18
03/2012;25.08 ;21.23
04/2012;25.25 ;21.33
05/2012;25.48 ;21.52
06/2012;25.76 ;21.68
07/2012;25.69 ;21.69
08/2012;25.64 ;21.88
09/2012;25.92 ;21.79
10/2012;26.02 ;21.92
11/2012;26.25 ;22.07
12/2012;26.85 ;22.34
01/2013;26.31 ;22.37
02/2013;26.36 ;22.35
03/2013;26.80 ;22.46
04/2013;26.60 ;22.54
05/2013;26.78 ;22.75
06/2013;27.10 ;22.87
07/2013;26.86 ;22.94
08/2013;27.01 ;23.11
09/2013;26.91 ;23.13
10/2013;26.63 ;23.12
11/2013;26.92 ;23.22
12/2013;27.46 ;23.39
01/2014;27.01 ;23.45
02/2014;26.83 ;23.33
03/2014;26.90 ;23.36
04/2014;26.84 ;23.43
05/2014;26.82 ;23.56
06/2014;26.95 ;23.71
07/2014;26.77 ;23.72
08/2014;26.83 ;23.86
09/2014;27.07 ;23.89
10/2014;27.01 ;24.05
11/2014;27.31 ;24.13
12/2014;27.77 ;24.44
01/2015;27.39 ;24.56
02/2015;27.48 ;24.58
03/2015;27.73 ;24.61
04/2015;27.52 ;24.67
05/2015;27.69 ;24.77
06/2015;27.71 ;24.78
07/2015;27.68 ;24.78
08/2015;27.84 ;24.91
09/2015;28.17 ;24.97
10/2015;27.93 ;24.97
11/2015;28.00 ;25.10
12/2015;28.47 ;25.22
01/2016;28.03 ;25.24
02/2016;27.64 ;25.15
03/2016;27.17 ;25.19
04/2016;26.79 ;25.10
05/2016;26.70 ;25.13
06/2016;26.18 ;25.02
07/2016;25.85 ;24.96
08/2016;25.56 ;24.97
09/2016;25.38 ;24.96
10/2016;25.13 ;24.89
11/2016;25.00 ;24.95
12/2016;24.69 ;24.94
01/2017;23.96 ;24.87
02/2017;23.81 ;24.80
03/2017;23.67 ;24.83
04/2017;23.47 ;24.79
05/2017;23.10 ;24.81
06/2017;23.08 ;24.84
07/2017;22.54 ;24.81
08/2017;22.26 ;24.90
09/2017;22.13 ;24.88
10/2017;21.95 ;24.98
11/2017;21.83 ;25.10
12/2017;21.98 ;25.14
01/2018;21.40 ;25.21
02/2018;21.25 ;25.11
Source;BCB-DSTAT;BCB-DSTAT
